시군구명,행정동명,총생활인구수,총노인시설수,입소정원,총노인생활인구수,노인생활인구비율,국민기초생활보장 수급권자,저소득노인,normal,Total bus,Total subway,Total Transportation,전체인구,65세이상 인구,고령자 비율,위도,경도
용산구,이태원1동,11017.30061,0,29,834.0512663,13.20938059,74,7,260,14,1,15,7947,1346,5.904160475,37.532612,126.990182
용산구,이태원2동,10882.27709,0,29,977.9119824,11.12807418,89,15,326,18,0,18,10427,1861,5.602901666,37.532612,126.990182
용산구,서빙고동,15094.62832,4,52,1615.603399,9.343028326,96,15,340,24,2,26,13458,2146,6.271202237,37.518619,126.991299
용산구,보광동,10925.74691,13,25,1082.775326,10.09050229,309,40,439,13,0,13,14060,2668,5.269865067,37.526873,127.000917
용산구,청파동,23328.94414,0,29,1934.219622,12.0611661,339,29,597,24,0,24,19833,3234,6.132653061,37.545502,126.969899
용산구,원효로1동,19609.39184,0,29,1288.717075,15.21621171,128,22,343,24,0,24,17774,2076,8.561657033,37.532612,126.990182
용산구,한강로동,49940.18535,0,29,3333.870697,14.97964075,171,14,582,41,13,54,22886,3228,7.08983891,37.529054,126.969503
용산구,한남동,30913.20049,10,24,2495.061627,12.38975428,214,38,654,42,1,43,22054,3683,5.988053217,37.537541,127.005165
성동구,왕십리2동,14185.12882,0,29,1519.464517,9.335610445,177,39,418,13,1,14,16688,2657,6.280767783,37.563386,127.037047
성동구,마장동,20549.41763,15,27,2376.584406,8.646618052,258,46,692,28,0,28,22706,4041,5.618906211,37.567363,127.040731
성동구,사근동,25905.1684,5,25,1564.568283,16.55739073,72,18,295,40,1,41,14082,1521,9.258382643,37.558904,127.047597
성동구,행당1동,25152.90776,0,29,1926.626053,13.05541765,121,23,343,27,3,30,13996,2194,6.379216044,37.563386,127.037047
성동구,행당2동,18078.24544,0,29,2097.597031,8.618550259,321,52,487,26,1,27,23148,4005,5.779775281,37.563386,127.037047
성동구,응봉동,9975.061724,9,20,1102.211574,9.050042623,62,27,399,32,0,32,15100,2537,5.951911707,37.550935,127.033903
성동구,금호1가동,13923.95051,0,29,1553.990783,8.960124257,300,29,390,41,1,42,15137,2750,5.504363636,37.553509,127.023661
성동구,금호4가동,11987.84306,0,29,1450.407754,8.265153728,178,26,430,28,2,30,14228,2512,5.664012739,37.545404,127.024129
성동구,성수1가1동,18533.75675,0,29,1360.777531,13.61997558,147,12,383,32,2,34,16407,2401,6.833402749,37.543511,127.042746
성동구,성수1가2동,20113.26513,0,29,1340.61524,15.00301095,69,16,340,12,2,14,12322,1969,6.257998984,37.543511,127.042746
성동구,성수2가1동,18920.80428,0,29,1403.98234,13.47652584,251,34,535,30,0,30,15716,2966,5.298718813,37.540855,127.056517
성동구,성수2가3동,33216.07146,0,29,1994.780977,16.65148798,65,11,285,21,2,23,10520,1837,5.726728361,37.540855,127.056517
성동구,송정동,9246.199238,5,21,827.2830098,11.17658544,196,32,313,13,0,13,10464,1859,5.628832706,37.553181,127.062066
성동구,용답동,19839.431,4,25,1998.184993,9.928725851,267,33,453,11,3,14,12551,2208,5.68432971,37.56147,127.056348
성동구,왕십리도선동,28711.61418,0,29,2628.588738,10.92282477,359,39,574,27,1,28,26903,3964,6.786831483,37.56598,127.031444
성동구,금호2.3가동,20143.24,0,29,2451.361227,8.217165131,233,34,618,37,0,37,22423,3987,5.624028091,37.549549,127.019842
성동구,옥수동,26322.97644,18,20,3059.601235,8.603401036,179,31,601,40,2,42,25843,4312,5.993274583,37.540788,127.020624
광진구,화양동,42593.34593,2,22,2118.704759,20.10348339,157,22,671,22,2,24,27082,2356,11.49490662,37.54325,127.073393
광진구,군자동,23780.71326,4,29,1663.18853,14.29826675,262,54,903,22,2,24,21524,3175,6.779212598,37.553038,127.073657
광진구,중곡1동,15220.66107,0,29,1479.148051,10.29015389,236,70,719,18,0,18,15663,2628,5.960045662,37.53821,127.082191
광진구,중곡2동,18466.58235,0,29,1945.198342,9.493418716,234,86,850,17,1,18,21336,3418,6.242246928,37.53821,127.082191
광진구,중곡3동,14521.06461,0,29,1778.885125,8.163014244,304,84,902,21,1,22,16177,2943,5.496772001,37.53821,127.082191
광진구,중곡4동,24239.23146,0,29,3137.083037,7.726678312,413,154,1288,33,0,33,28405,5417,5.243677312,37.53821,127.082191
광진구,능동,15295.36352,1,29,1321.22889,11.57661904,91,29,399,9,2,11,11561,1674,6.906212664,37.550578,127.081722
광진구,구의1동,22173.85187,0,29,1878.052742,11.80683128,244,56,892,13,1,14,24049,3342,7.195990425,37.53821,127.082191
광진구,구의2동,19634.21775,0,29,2249.316064,8.728972359,287,111,1029,20,0,20,26573,4514,5.886796633,37.53821,127.082191
광진구,구의3동,29234.55909,0,29,2556.358258,11.43601801,134,46,772,23,0,23,28440,4377,6.497601097,37.53821,127.082191
광진구,광장동,35120.53689,20,20,2739.626925,12.81945967,67,27,606,38,2,40,34362,3991,8.609872212,37.547835,127.104695
광진구,자양1동,24470.08002,0,29,2172.600719,11.26303596,361,88,1074,13,0,13,22709,3655,6.213132695,37.53821,127.082191
광진구,자양2동,20905.82465,0,29,2218.345826,9.42406022,234,57,890,14,0,14,24253,4207,5.764915617,37.53821,127.082191
광진구,자양3동,24437.51774,0,29,2438.046822,10.02339968,107,42,809,18,1,19,27858,4495,6.197552836,37.53821,127.082191
광진구,자양4동,28831.07017,0,29,2727.527947,10.57040321,358,76,1134,12,1,13,21260,3879,5.480794019,37.53821,127.082191
동대문구,회기동,20841.7972,1,150,1632.039297,12.77040157,84,15,349,9,0,9,13536,1556,8.699228792,37.593733,127.051434
동대문구,휘경1동,16964.48708,0,29,1636.097547,10.36887263,110,18,367,15,2,17,16339,2173,7.519098021,37.574428,127.039712
동대문구,휘경2동,19577.39017,0,29,2115.508152,9.254225821,181,34,709,17,0,17,24666,4112,5.998540856,37.574428,127.039712
동대문구,청량리동,20534.33154,14,20,3645.655912,5.632547896,837,78,1053,23,0,23,19094,5467,3.492591915,37.588799,127.04528
동대문구,용신동,41890.57829,0,29,5121.416673,8.179490357,706,55,1315,38,7,45,36137,6147,5.878802668,37.575868,127.037305
동대문구,전농1동,31929.54173,0,29,3547.608511,9.00030024,701,106,1072,33,2,35,29220,5816,5.024071527,37.574428,127.039712
동대문구,전농2동,16144.29251,0,29,1852.766996,8.713611886,287,43,529,12,0,12,18629,3813,4.88565434,37.574428,127.039712
동대문구,답십리2동,20437.79075,0,29,2657.978478,7.689223563,479,87,803,20,0,20,28055,5780,4.853806228,37.57097,127.056703
동대문구,장안1동,34374.34547,0,29,3555.816954,9.667073957,416,65,1105,27,1,28,38677,6799,5.688630681,37.574428,127.039712
동대문구,장안2동,28389.64242,0,29,2971.260749,9.554746222,316,54,880,33,0,33,32685,5424,6.025995575,37.574428,127.039712
동대문구,이문1동,26354.48836,0,29,1893.089414,13.92141764,232,45,566,26,0,26,21366,3234,6.606679035,37.574428,127.039712
동대문구,이문2동,13358.71022,0,29,1838.642549,7.265528704,349,52,620,10,3,13,20183,4126,4.891662627,37.574428,127.039712
동대문구,답십리1동,21509.69667,0,29,2320.465131,9.26956255,283,43,655,26,2,28,28530,4166,6.848295727,37.57097,127.056703
중랑구,면목2동,19858.03444,0,29,2500.038144,7.943092585,510,40,976,23,0,23,24206,4783,5.060840477,37.606736,127.092924
중랑구,면목4동,16091.08707,0,29,2180.775289,7.378608495,530,27,547,14,1,15,18746,3919,4.783363103,37.606736,127.092924
중랑구,면목5동,11305.76183,0,29,1339.70248,8.439009408,184,10,376,14,0,14,14836,2380,6.233613445,37.606736,127.092924
중랑구,면목7동,17156.85845,0,29,2434.986312,7.045977369,349,28,731,17,1,18,21798,4467,4.879785091,37.606736,127.092924
중랑구,상봉1동,16671.42593,0,29,1875.656644,8.888314389,441,22,588,16,4,20,23714,3995,5.9359199,37.606736,127.092924
중랑구,상봉2동,25041.93668,0,29,2524.424432,9.919859894,309,19,672,15,1,16,20612,3079,6.694381293,37.606736,127.092924
중랑구,중화1동,14467.96169,0,29,1806.185033,8.010232301,284,21,632,14,0,14,19293,3835,5.030769231,37.606736,127.092924
중랑구,중화2동,25087.93301,0,29,3426.944097,7.320788521,755,33,977,28,1,29,24926,5183,4.80918387,37.606736,127.092924
중랑구,묵1동,24650.23534,0,29,3194.897219,7.715501829,337,28,841,31,1,32,34344,6145,5.588934093,37.606736,127.092924
중랑구,묵2동,18347.44489,0,29,2274.471049,8.066686491,319,31,629,20,0,20,18624,3762,4.950558214,37.606736,127.092924
중랑구,망우3동,11024.19459,0,29,1645.730123,6.698664887,528,24,625,10,0,10,16303,3505,4.651355207,37.606736,127.092924
중랑구,신내1동,33076.72461,0,29,3941.022636,8.392929364,526,44,771,49,2,51,38205,7204,5.30330372,37.605867,127.099356
중랑구,신내2동,17158.0808,0,29,2497.142353,6.871086375,493,28,701,21,1,22,20155,4297,4.690481731,37.606188,127.094222
중랑구,면목본동,26370.54606,0,29,3242.991523,8.131549488,791,44,1205,27,1,28,33856,6355,5.327458694,37.587331,127.087419
중랑구,망우본동,40005.16754,0,29,4795.70537,8.3418735,854,39,1201,59,4,63,35905,6837,5.251572327,37.601504,127.106215
성북구,돈암1동,12256.11859,0,29,1844.008038,6.646456163,370,14,329,11,0,11,14474,2988,4.844042838,37.58944,127.016817
성북구,돈암2동,13693.33876,0,29,1558.868615,8.784151934,198,16,381,33,0,33,23657,3648,6.484923246,37.58944,127.016817
성북구,안암동,27724.07152,0,29,1822.785118,15.20973111,179,18,420,30,2,32,17118,2113,8.101277804,37.585892,127.021381
성북구,보문동,15573.25256,0,29,1785.533596,8.721903968,200,19,496,10,1,11,16712,2588,6.457496136,37.58038,127.022857
성북구,길음1동,34012.78981,0,29,3219.644326,10.56414509,344,27,517,30,2,32,35000,4818,7.264425073,37.58944,127.016817
성북구,길음2동,18238.80908,0,29,2075.721872,8.786730693,294,16,370,22,0,22,21728,3112,6.982005141,37.58944,127.016817
성북구,월곡1동,25327.12932,0,29,2824.916052,8.965621933,466,15,637,25,0,25,26169,4922,5.316741162,37.58944,127.016817
성북구,월곡2동,21841.90214,0,29,2653.640186,8.230920776,353,17,525,28,2,30,19739,3729,5.29337624,37.58944,127.016817
성북구,장위1동,21655.23647,0,29,2656.708094,8.151153871,577,14,550,34,0,34,24082,4210,5.720190024,37.58944,127.016817
성북구,장위2동,12115.42795,0,29,1862.613901,6.504529975,414,15,419,27,1,28,13622,3146,4.329942784,37.58944,127.016817
성북구,장위3동,8376.712836,0,29,984.7140254,8.50674675,202,13,252,34,0,34,15868,2193,7.235750114,37.58944,127.016817
성북구,성북동,20029.27524,4,29,2278.938747,8.788860722,166,15,589,47,1,48,16889,3092,5.462160414,37.597248,126.992899
성북구,삼선동,25794.12626,0,29,2370.935002,10.87930552,369,21,678,39,2,41,23044,4026,5.72379533,37.590836,127.01467
성북구,동선동,25385.16894,0,29,2032.15823,12.49172853,194,13,401,18,1,19,15870,2196,7.226775956,37.593984,127.020426
성북구,종암동,37690.85888,19,22,4305.273997,8.754578434,613,19,1106,56,0,56,40111,6990,5.738340486,37.597176,127.033894
성북구,석관동,26404.14704,8,29,3694.527833,7.146825857,699,24,1148,29,1,30,35315,7494,4.712436616,37.608265,127.061465
강북구,번1동,17811.94093,0,29,2297.420795,7.753016323,380,35,1163,23,1,24,18578,3811,4.874836001,37.637825,127.028802
강북구,번2동,11704.72484,0,29,2001.168839,5.848944184,548,96,1250,41,0,41,15397,4124,3.733511154,37.632572,127.038693
강북구,번3동,14479.44704,0,29,2832.736853,5.111469153,857,88,1587,35,0,35,16449,4787,3.436181324,37.625852,127.046619
강북구,수유1동,16701.63783,0,29,2485.305284,6.720155443,470,55,1318,39,2,41,20501,4577,4.479134804,37.630309,127.017684
강북구,수유2동,16899.03589,0,29,2740.227556,6.167019178,419,54,1237,12,1,13,21054,5126,4.107296137,37.644753,127.019941
강북구,수유3동,27698.70864,0,29,3242.434665,8.542564925,488,49,1473,25,0,25,23778,4804,4.949625312,37.638832,127.023089
강북구,삼양동,21605.83224,0,29,3434.350243,6.291097503,546,65,1511,31,3,34,23090,5019,4.600518031,37.627368,127.0183
강북구,미아동,22148.33645,47,1,3173.804722,6.978481157,445,76,1484,26,2,28,21685,4627,4.686622001,37.621106,127.023865
강북구,송중동,34034.61077,0,29,4603.956327,7.392470378,481,69,1574,57,2,59,29910,6215,4.812550282,37.616062,127.033819
강북구,송천동,26162.82793,0,29,3884.121118,6.735842457,675,69,1990,17,1,18,25998,6280,4.139808917,37.618268,127.023845
강북구,삼각산동,20099.48096,0,29,2285.146658,8.795707222,515,49,1096,21,2,23,30939,4711,6.567395457,37.616702,127.017511
강북구,우이동,18995.1833,3,29,2899.627067,6.550905638,331,68,1328,33,6,39,20407,4998,4.083033213,37.663286,127.000508
강북구,인수동,25655.2149,0,29,4127.451207,6.215752439,605,81,1978,50,1,51,29916,7228,4.138904261,37.641485,127.010591
도봉구,쌍문1동,16785.47009,0,29,2333.15984,7.194307823,346,52,686,42,1,43,21445,4723,4.540546263,37.668639,127.047364
도봉구,쌍문2동,16883.76161,0,29,2395.013831,7.0495466,313,65,748,15,0,15,18461,4027,4.584305935,37.668639,127.047364
도봉구,쌍문3동,16254.34556,0,29,2301.044448,7.063898994,277,40,598,16,0,16,16934,3544,4.778216704,37.668639,127.047364
도봉구,쌍문4동,12974.4523,0,29,1677.103361,7.736226995,82,29,477,15,0,15,18348,3278,5.597315436,37.668639,127.047364
도봉구,방학1동,23091.12186,0,29,3226.751819,7.156150565,546,53,948,31,5,36,28410,6183,4.594856866,37.668639,127.047364
도봉구,방학2동,10652.81774,0,29,1954.933363,5.449197368,649,71,726,23,0,23,19354,4601,4.206476853,37.668639,127.047364
도봉구,방학3동,20098.28616,0,29,3086.310857,6.512074478,100,35,791,28,0,28,26500,5387,4.919250046,37.668639,127.047364
도봉구,창1동,19865.69091,0,29,2841.669066,6.990853067,208,27,895,22,3,25,24502,4872,5.029146141,37.668639,127.047364
도봉구,창2동,28378.95495,0,29,3737.577968,7.59287303,312,46,853,25,0,25,28957,5498,5.2668243,37.668639,127.047364
도봉구,창3동,10035.88708,0,29,1510.611047,6.643594393,308,35,518,12,0,12,13633,3041,4.483064781,37.668639,127.047364
도봉구,창4동,26855.20662,0,29,3503.614136,7.66500122,112,28,740,36,4,40,26121,4505,5.798224195,37.668639,127.047364
도봉구,창5동,18855.02786,0,29,2536.545879,7.433347851,167,29,741,18,1,19,24343,4621,5.267907379,37.668639,127.047364
도봉구,도봉1동,18056.48145,0,29,3736.800288,4.832070235,568,73,1159,37,0,37,20622,5930,3.477571669,37.668639,127.047364
도봉구,도봉2동,18278.14207,0,29,3031.465085,6.02947471,470,69,1041,42,6,48,26359,6788,3.883176193,37.668639,127.047364
노원구,월계1동,22899.68452,0,29,2722.435788,8.411469106,262,32,693,45,4,49,21580,4280,5.042056075,37.619919,127.062984
노원구,월계2동,19181.67485,0,29,3035.795822,6.318499652,1055,58,812,40,4,44,26066,6044,4.312706817,37.63251,127.051031
노원구,월계3동,23355.59323,0,29,3340.725091,6.991174849,705,46,981,24,1,25,29384,6378,4.607086861,37.620949,127.069054
노원구,공릉2동,46948.93341,0,29,4017.872447,11.68502336,300,37,857,52,2,54,42538,5931,7.17214635,37.621268,127.083357
노원구,하계1동,25620.74915,0,29,3078.423217,8.322685785,1001,38,594,35,2,37,26982,4694,5.748189178,37.640485,127.072685
노원구,하계2동,15284.38802,0,29,1812.613379,8.432238336,334,27,489,19,1,20,21642,3408,6.350352113,37.632123,127.068053
노원구,중계본동,19788.4596,0,29,1437.163726,13.76910595,126,25,421,19,0,19,23477,2620,8.960687023,37.647853,127.080401
노원구,중계1동,24737.13218,0,29,1979.435209,12.49706586,196,19,344,18,0,18,26580,2561,10.3787583,37.652551,127.077488
노원구,중계4동,15567.60285,0,29,2452.469771,6.347724662,696,30,602,7,0,7,19601,4138,4.736829386,37.658763,127.077989
노원구,상계1동,34833.89299,0,29,5428.388213,6.416986337,543,52,1038,30,5,35,37857,7568,5.0022463,37.679855,127.05502
노원구,상계2동,27723.48326,0,29,3350.453471,8.274546566,289,28,578,26,6,32,19629,3526,5.566931367,37.65886,127.068479
노원구,상계5동,17602.72136,0,29,2840.79694,6.196402536,495,56,996,19,0,19,23737,5242,4.528233499,37.662994,127.06947
노원구,상계8동,17031.89735,0,29,1816.388383,9.376792712,53,7,599,14,1,15,22344,3055,7.31391162,37.666726,127.051548
노원구,상계9동,17150.19699,0,29,2135.550067,8.030810074,111,25,690,23,1,24,20071,3682,5.451113525,37.66449,127.063818
노원구,상계10동,12520.19326,0,29,1404.145122,8.916594918,74,12,483,22,1,23,18477,2922,6.323408624,37.661245,127.060243
노원구,상계3.4동,20443.07912,0,29,3202.631123,6.383213783,921,80,976,23,0,23,25324,6177,4.099724785,37.672624,127.08302
노원구,상계6.7동,46883.34032,0,29,5453.030494,8.597666999,165,33,1107,30,0,30,32044,5271,6.07930184,37.654919,127.066919
노원구,중계2.3동,30262.57991,0,29,4137.743224,7.313788765,1405,89,1100,31,4,35,33497,7665,4.37012394,37.64204,127.068711
노원구,공릉1동,42155.76269,0,29,4980.866371,8.463540185,788,44,1084,44,4,48,37184,6878,5.406222739,37.624843,127.07382
은평구,녹번동,32323.81088,13,20,4284.273029,7.54475979,587,53,1466,28,2,30,36884,7329,5.032610179,37.605314,126.934567
은평구,불광1동,25468.65115,0,29,3859.13285,6.599578751,675,46,1422,34,2,36,38265,7985,4.792110207,37.602766,126.928839
은평구,갈현1동,18347.66641,0,29,2423.374971,7.571121526,358,37,458,43,1,44,17151,3557,4.82175991,37.602766,126.928839
은평구,갈현2동,21610.91813,0,29,2579.081826,8.379306899,352,38,833,31,1,32,28176,5204,5.414296695,37.602766,126.928839
은평구,구산동,24553.84125,7,24,3338.527606,7.354691692,415,47,882,32,0,32,32020,6382,5.017235976,37.611074,126.907302
은평구,대조동,49555.08139,4,29,5872.977483,8.437812256,487,44,1000,28,0,28,26862,5199,5.166762839,37.612256,126.923141
은평구,응암1동,22193.92446,0,29,2607.165504,8.512664204,323,24,905,22,1,23,33279,5410,6.151386322,37.602766,126.928839
은평구,응암2동,16281.11049,0,29,1738.765042,9.363605829,355,26,550,34,0,34,28016,4152,6.747591522,37.602766,126.928839
은평구,신사1동,22677.29915,0,29,2850.469137,7.955637499,272,29,804,24,1,25,26984,5220,5.169348659,37.602766,126.928839
은평구,신사2동,12222.7967,0,29,1564.151094,7.814332479,270,24,641,32,1,33,19497,3963,4.919757759,37.602766,126.928839
은평구,증산동,14754.51175,9,10,1798.7797,8.202511822,168,16,572,11,2,13,18647,3586,5.199944228,37.584166,126.905952
은평구,수색동,15359.82196,11,10,1422.719903,10.79609692,239,11,320,18,0,18,13210,2380,5.550420168,37.585574,126.894529
은평구,진관동,56427.00542,37,20,6224.244807,9.065678996,434,49,855,71,6,77,55034,8638,6.371150729,37.639681,126.937804
은평구,불광2동,20838.43634,0,29,3004.641784,6.935414547,718,51,1220,25,0,25,27280,6134,4.44734268,37.602766,126.928839
은평구,응암3동,24530.56316,0,29,3491.974071,7.024841155,608,47,1188,25,0,25,24313,5761,4.220274258,37.602766,126.928839
은평구,역촌동,39673.22424,4,29,4961.918624,7.995541089,666,83,1419,49,0,49,44984,8750,5.141028571,37.604582,126.914611
서대문구,천연동,16007.47951,2,25,2029.204827,7.888547918,372,6,622,37,1,38,17031,3279,5.193961574,37.567945,126.959437
서대문구,홍은1동,15412.39694,0,29,2262.409045,6.812383008,309,12,808,30,0,30,22825,4715,4.840933192,37.579213,126.936773
서대문구,홍은2동,22383.28158,0,29,2785.156329,8.036633831,303,6,900,71,0,71,27499,5347,5.14288386,37.579213,126.936773
서대문구,남가좌1동,7283.050342,0,29,749.0265794,9.723353673,118,5,299,13,1,14,16884,2299,7.344062636,37.579213,126.936773
서대문구,남가좌2동,21421.16433,0,29,2260.478005,9.476386978,441,7,832,27,0,27,30508,4988,6.11627907,37.579213,126.936773
서대문구,북가좌1동,13915.558,0,29,1632.531151,8.523915754,154,10,395,13,0,13,17804,3106,5.732131359,37.579213,126.936773
서대문구,북가좌2동,31306.10804,0,29,4011.705618,7.803690255,476,10,1118,36,1,37,31244,6524,4.78908645,37.579213,126.936773
서대문구,충현동,40869.19938,0,29,3532.849087,11.56833999,265,14,662,44,2,46,20316,3481,5.83625395,37.56483,126.954715
서대문구,북아현동,41199.05938,11,20,2990.998519,13.77434964,203,6,437,15,1,16,15875,2335,6.798715203,37.562431,126.954397
서대문구,신촌동,59087.21677,1,41,3071.521212,19.23711826,96,19,478,46,3,49,26143,2141,12.21064923,37.56555,126.941382
서대문구,연희동,38559.93039,11,20,3723.090198,10.35696917,281,13,1141,58,0,58,37428,6185,6.051414713,37.571987,126.932812
마포구,용강동,24024.74506,4,20,2266.523805,10.59982031,181,49,479,21,3,24,21786,3046,7.152330926,37.541502,126.940443
마포구,대흥동,24547.19796,8,20,1604.395381,15.29996798,140,31,478,29,5,34,16177,1992,8.120983936,37.549807,126.943177
마포구,염리동,17123.83664,10,22,1380.605096,12.4031388,163,49,566,12,0,12,17633,2085,8.457074341,37.549096,126.947307
마포구,신수동,16688.86041,11,19,1610.018506,10.36563266,125,53,526,24,0,24,22672,3380,6.707692308,37.548524,126.936813
마포구,서교동,73018.70668,3,29,3615.025569,20.19866949,103,19,693,80,4,84,26674,3324,8.024669073,37.553838,126.918765
마포구,합정동,20184.91688,4,25,1487.297179,13.57154251,124,23,503,29,2,31,17064,2685,6.355307263,37.547027,126.909029
마포구,망원1동,20245.21116,0,29,2101.088618,9.635581756,203,63,592,23,1,24,19757,3407,5.798943352,37.566404,126.901763
마포구,망원2동,15556.86607,0,29,1758.211254,8.848121081,142,43,501,34,1,35,18449,3222,5.725946617,37.566404,126.901763
마포구,연남동,17454.32639,5,21,1295.670026,13.47127435,99,39,408,21,0,21,15603,2405,6.487733888,37.563027,126.921519
마포구,성산1동,20842.22427,0,29,1947.860315,10.70006104,211,37,431,26,0,26,19079,3043,6.26979954,37.566404,126.901763
마포구,성산2동,35306.39267,0,29,3534.2368,9.989820905,643,153,1003,40,8,48,39500,6425,6.147859922,37.566404,126.901763
마포구,상암동,50557.95092,20,20,3657.366528,13.82359425,225,121,389,96,5,101,30837,4277,7.209960253,37.570748,126.87984
마포구,도화동,15839.84941,12,21,1729.964972,9.156167705,86,35,793,34,1,35,21118,3818,5.531168151,37.539758,126.950007
