ADSTRD_CD,ADSTRD_NM,FCLTY_LO,FCLTY_LA
1168064000,역삼1동,127.0432183,37.50978716
1168065000,역삼2동,127.04181,37.494558
1168054500,압구정동,127.038159,37.523551
1168058000,삼성1동,127.0521426,37.51591066
1168052100,논현1동,127.026089,37.51206542
1168063000,대치4동,127.0541301,37.50304252
1168065600,도곡2동,127.0460984,37.48498254
4215051000,홍제동,128.8839883,37.7477189
1174054000,명일2동,127.1546206,37.55221118
1174055000,고덕제1동,127.14653,37.556101
1174061000,천호2동,127.1317143,37.54620984
1130566000,인수동,127.0187526,37.6356868
1130554500,송중동,127.033378,37.61874314
1150053500,등촌3동,126.8475516,37.5581232
1150059300,화곡8동,126.848523,37.52954504
1150059000,화곡본동,126.8514079,37.54152282
1150059100,화곡6동,126.8526628,37.55241466
1150059000,화곡본동,126.8514079,37.54152282
1150053500,등촌3동,126.8420946,37.56681307
1162057500,행운동,126.9641329,37.4786665
1162052500,보라매동,126.926303,37.492997
2771025900,유가읍,128.4666738,35.70130261
1121573000,군자동,127.071497,37.551084
1153056000,구로제5동,126.890603,37.505246
1153079000,수궁동,126.82325,37.496683
1154567000,시흥제1동,126.897746,37.450133
1154564000,독산제4동,126.906438,37.469514
1154561000,독산제1동,126.886941,37.457825
1154561000,독산1동,126.8944595,37.4674676
1135061100,하계1동,127.0733372,37.64344507
1135060000,공릉2동,127.078945,37.621693
1135056000,월계1동,127.050774,37.624263
1135064000,상계2동,127.070718,37.65611926
1132070000,방학2동,127.0322023,37.6705737
1132066000,쌍문1동,127.0238027,37.6482564
1132051300,창3동,127.0413886,37.6367115
1132067000,쌍문제2동,127.03595,37.658932
1132052100,도봉1동,127.0435807,37.6821279
1132051400,창4동,127.0508795,37.65986054
1123070500,청량리동,127.0500267,37.58724711
1159066000,대방동,126.929047,37.500447
1159062000,사당제1동,126.97984,37.477018
1159053000,상도1동,126.951388,37.5064589
1159051000,노량진1동,126.9417006,37.51275688
1144065500,서강동,126.932213,37.548915
1144056500,공덕동,126.960307,37.557473
1144059000,용강동,126.9398032,37.54500016
1144060000,대흥동,126.942401,37.555873
1141072000,북가좌제2동,126.917894,37.581213
1141065500,홍제제2동,126.950648,37.58277
1141052000,천연동,126.959119,37.568023
1141061500,연희동,126.923525,37.572245
1165061000,방배2동,126.9827869,37.48076743
1165065100,양재1동,127.040816,37.48302001
1165066000,내곡동,127.050699,37.46182406
1165062000,방배3동,126.9874431,37.4765239
1165051000,서초1동,127.016811,37.49232427
1165066000,내곡동,127.050699,37.46182406
1120066000,성수1가2동,127.0443497,37.5464026
1120055000,사근동,127.045326,37.56149957
1120053500,왕십리도선동,127.025511,37.567878
1120079000,용답동,127.0547374,37.56057765
1120054000,마장동,127.041319,37.564809
1129070500,종암동,127.0334032,37.59962856
1129072500,월곡2동,127.0483266,37.60626414
1129063000,정릉2동,127.0046584,37.60824197
1129081000,석관동,127.0582481,37.60671088
1129055500,삼선동,127.0140792,37.58915391
1129078000,장위3동,127.053514,37.62008856
1129061000,보문동,127.0193243,37.58387155
1171064600,장지동,127.134225,37.485765
1171058000,송파1동,127.10972,37.505956
1171061000,삼전동,127.094889,37.49868
1147058000,신월3동,126.8266346,37.5342613
1147068000,신정7동,126.858629,37.510446
1147054000,목4동,126.8692679,37.53646455
1147057000,신월2동,126.847329,37.520014
1156060500,문래동,126.8905415,37.51685634
1156054000,여의동,126.9307706,37.51814195
1156054000,여의동,126.9307706,37.51814195
1117055500,청파동,126.9676967,37.55200626
1117068500,한남동,127.006498,37.53133868
1138063200,신사제2동,126.908059,37.590259
1138057000,대조동,126.921946,37.613471
1138062500,역촌동,126.911356,37.603354
1138060000,응암제3동,126.916772,37.594592
1138069000,진관동,126.9299824,37.63225081
1138055100,갈현제1동,126.918643,37.624865
1138052000,불광제1동,126.924861,37.619489
1111061500,종로1.2.3.4가동,126.985804,37.576013
1111064000,이화동,127.006013,37.576762
1114063500,약수동,127.0093304,37.5524706
1126069000,신내2동,127.0878892,37.61481251
1126057500,면목3.8동,127.1018199,37.58739985
1126068000,신내1동,127.0999468,37.6012541
1126052000,면목2동,127.0778419,37.58843496
1126060000,중화1동,127.0811539,37.60330431
2644058000,가덕도동,128.831795,35.056792
1150053500,등촌제3동,126.847535,37.558129
2644053500,명지1동,128.923047,35.1105637
2641066500,청룡노포동,129.084751,35.279193
2671025000,기장읍,129.2126262,35.23587446
2671025600,정관읍,129.179075,35.324757
2671025000,기장읍,129.212591,35.235093
2629070000,문현3동,129.0709194,35.13801659
2629055000,대연제5동,129.093264,35.136176
3117059000,남목2동,129.431392,35.524629
2617055000,초량제6동,129.034832,35.119563
2617066000,범일2동,129.0648461,35.1356422
2626054500,명륜동,129.081929,35.212382
2626051000,수민동,129.0865969,35.19626384
4677036000,봉래면,127.4611394,34.4643411
2623061000,전포2동,129.0658467,35.16404847
2623061000,전포2동,129.0658467,35.16404847
2632052100,구포제3동,129.008634,35.19423
2632052100,구포3동,129.0086898,35.1942653
2632053000,금곡동,129.0157637,35.25926333
2632054100,화명1동,129.0097811,35.22680891
2617055000,초량6동,129.0348413,35.11956203
2653067000,학장동,128.994853,35.147372
2638057100,신평1동,128.9772479,35.0915953
2638053000,괴정3동,128.9987385,35.10303523
2638059000,장림제2동,128.976332,35.075077
2614068000,암남동,129.014312,35.073125
2614059000,부민동,129.018039,35.107437
2650066000,남천제1동,129.111169,35.140025
2650079000,광안4동,129.1048675,35.1595681
2617056000,수정1동,129.0404176,35.12581096
2647068000,연산4동,129.0821001,35.19110692
