행정구,행정동,전체인구,65세이상 인구
마포구,대흥동,16177,1976
마포구,염리동,17633,2072
마포구,신수동,22672,3371
마포구,서교동,26674,3299
마포구,합정동,17064,2675
마포구,망원1동,19757,3391
마포구,망원2동,18449,3215
마포구,연남동,15603,2299
마포구,성산1동,19079,3018
마포구,성산2동,39500,6411
마포구,상암동,30837,4255
마포구,도화동,21118,3795
마포구,서강동,25576,3307
마포구,공덕동,37476,6057
마포구,아현동,26184,3367
양천구,목1동,30536,3495
양천구,목2동,29641,4400
양천구,목3동,21719,3591
양천구,목4동,25018,3397
양천구,신월1동,20343,4443
양천구,신월2동,20569,4102
양천구,신월3동,14934,3084
양천구,신월4동,17698,3487
양천구,신월5동,14461,2614
양천구,신월6동,13816,2029
양천구,신월7동,19199,4447
양천구,신정1동,19962,2840
양천구,신정2동,19003,2728
양천구,신정3동,50587,8081
양천구,신정6동,24152,3041
양천구,신정7동,28579,5283
양천구,목5동,40737,5033
양천구,신정4동,33056,6140
강서구,염창동,41628,4650
강서구,등촌1동,24991,3048
강서구,등촌2동,19855,3350
강서구,등촌3동,30025,7059
강서구,화곡본동,34121,5149
강서구,화곡2동,17785,3047
강서구,화곡3동,21603,4280
강서구,화곡4동,20514,4034
강서구,화곡6동,25303,4147
강서구,화곡8동,24415,4553
강서구,가양1동,34359,3292
강서구,가양2동,13902,4394
강서구,가양3동,14678,3860
강서구,발산1동,36236,5132
강서구,공항동,30927,4398
강서구,방화1동,42851,7037
강서구,방화2동,23371,5021
강서구,방화3동,22544,5531
강서구,화곡1동,52647,8695
강서구,우장산동,42883,6203
구로구,신도림동,36138,4984
구로구,구로1동,20936,2857
구로구,구로3동,25055,3548
구로구,구로4동,23052,4597
구로구,구로5동,31740,4854
구로구,고척1동,25636,4551
구로구,고척2동,26557,5526
구로구,개봉2동,30665,6774
구로구,개봉3동,20251,4445
구로구,오류1동,23126,4158
구로구,수궁동,23332,4703
구로구,가리봉동,12653,1954
구로구,구로2동,30093,5713
구로구,개봉1동,34105,6669
구로구,오류2동,38528,7373
구로구,항동,16551,1785
금천구,가산동,26569,2726
금천구,독산1동,47573,6124
금천구,독산2동,19562,3615
금천구,독산3동,27239,4678
금천구,독산4동,16432,3016
금천구,시흥1동,34054,6443
금천구,시흥2동,20832,4291
금천구,시흥3동,10701,2464
금천구,시흥4동,20614,4365
금천구,시흥5동,19242,4504
영등포구,여의동,32923,6341
영등포구,당산1동,20740,3479
영등포구,당산2동,37102,4830
영등포구,양평1동,18704,2416
영등포구,양평2동,22583,2625
영등포구,신길1동,20483,3511
영등포구,신길3동,17281,3236
영등포구,신길4동,13016,2416
영등포구,신길5동,11212,2060
영등포구,신길6동,19593,3429
영등포구,신길7동,19899,2657
영등포구,대림1동,16506,3168
영등포구,대림2동,17523,2846
영등포구,대림3동,25205,4600
영등포구,영등포본동,22714,4257
영등포구,영등포동,30461,3395
영등포구,도림동,19600,3260
영등포구,문래동,32540,4823
동작구,노량진2동,11234,2221
동작구,상도1동,46166,7352
동작구,상도2동,27982,4390
동작구,상도3동,24456,4607
동작구,상도4동,28564,5339
동작구,사당1동,23009,3874
동작구,사당3동,24189,4656
동작구,사당4동,14185,2770
동작구,사당5동,14434,2443
동작구,대방동,37056,5805
동작구,신대방1동,25118,3947
동작구,신대방2동,22445,3456
동작구,흑석동,30694,5254
동작구,노량진1동,32114,5949
동작구,사당2동,28786,5809
관악구,보라매동,24660,4635
관악구,청림동,15005,2834
관악구,행운동,29636,4515
관악구,낙성대동,17928,2025
관악구,중앙동,15685,2393
관악구,인헌동,26119,4131
관악구,남현동,18163,2939
관악구,서원동,23511,3377
관악구,신원동,18620,3303
관악구,서림동,24361,3676
관악구,신사동,24719,3570
관악구,신림동,23877,1970
관악구,난향동,15050,2840
관악구,조원동,20490,3036
관악구,대학동,26301,3178
관악구,은천동,33156,6075
관악구,성현동,28830,5538
관악구,청룡동,37132,4679
관악구,난곡동,26679,5582
