시군구명,행정동명,총생활인구수,총노인시설수,입소정원,총노인생활인구수,노인생활인구비율,국민기초생활보장 수급권자,저소득노인,normal,Total bus,Total subway,Total Transportation,전체인구,65세이상 인구,고령자 비율,총독거노인수,노인시설수요량,Cluster_Labels
용산구,이태원1동,11017.30061,0,29,834.0512663,13.20938059,74,7,260,14,1,15,7947,1346,5.904160475,341,11.758620689655173,1
용산구,이태원2동,10882.27709,0,29,977.9119824,11.12807418,89,15,326,18,0,18,10427,1861,5.602901666,430,14.827586206896552,1
용산구,서빙고동,15094.62832,4,52,1615.603399,9.343028326,96,15,340,24,2,26,13458,2146,6.271202237,451,4.673076923076923,1
용산구,보광동,10925.74691,13,25,1082.775326,10.09050229,309,40,439,13,0,13,14060,2668,5.269865067,788,18.52,1
용산구,청파동,23328.94414,0,29,1934.219622,12.0611661,339,29,597,24,0,24,19833,3234,6.132653061,965,33.275862068965516,1
용산구,원효로1동,19609.39184,0,29,1288.717075,15.21621171,128,22,343,24,0,24,17774,2076,8.561657033,493,17.0,1
용산구,한강로동,49940.18535,0,29,3333.870697,14.97964075,171,14,582,41,13,54,22886,3228,7.08983891,767,26.448275862068964,1
용산구,한남동,30913.20049,10,24,2495.061627,12.38975428,214,38,654,42,1,43,22054,3683,5.988053217,906,27.75,3
성동구,왕십리2동,14185.12882,0,29,1519.464517,9.335610445,177,39,418,13,1,14,16688,2657,6.280767783,634,21.862068965517242,1
성동구,마장동,20549.41763,15,27,2376.584406,8.646618052,258,46,692,28,0,28,22706,4041,5.618906211,996,21.888888888888886,3
성동구,사근동,25905.1684,5,25,1564.568283,16.55739073,72,18,295,40,1,41,14082,1521,9.258382643,385,10.4,1
성동구,행당1동,25152.90776,0,29,1926.626053,13.05541765,121,23,343,27,3,30,13996,2194,6.379216044,487,16.79310344827586,1
성동구,행당2동,18078.24544,0,29,2097.597031,8.618550259,321,52,487,26,1,27,23148,4005,5.779775281,860,29.655172413793103,3
성동구,응봉동,9975.061724,9,20,1102.211574,9.050042623,62,27,399,32,0,32,15100,2537,5.951911707,488,15.399999999999999,1
성동구,금호1가동,13923.95051,0,29,1553.990783,8.960124257,300,29,390,41,1,42,15137,2750,5.504363636,719,24.79310344827586,1
성동구,금호4가동,11987.84306,0,29,1450.407754,8.265153728,178,26,430,28,2,30,14228,2512,5.664012739,634,21.862068965517242,1
성동구,성수1가1동,18533.75675,0,29,1360.777531,13.61997558,147,12,383,32,2,34,16407,2401,6.833402749,542,18.689655172413794,1
성동구,성수1가2동,20113.26513,0,29,1340.61524,15.00301095,69,16,340,12,2,14,12322,1969,6.257998984,425,14.655172413793103,1
성동구,성수2가1동,18920.80428,0,29,1403.98234,13.47652584,251,34,535,30,0,30,15716,2966,5.298718813,820,28.275862068965516,1
성동구,성수2가3동,33216.07146,0,29,1994.780977,16.65148798,65,11,285,21,2,23,10520,1837,5.726728361,361,12.448275862068966,1
성동구,송정동,9246.199238,5,21,827.2830098,11.17658544,196,32,313,13,0,13,10464,1859,5.628832706,541,20.761904761904763,1
성동구,용답동,19839.431,4,25,1998.184993,9.928725851,267,33,453,11,3,14,12551,2208,5.68432971,753,26.12,1
성동구,왕십리도선동,28711.61418,0,29,2628.588738,10.92282477,359,39,574,27,1,28,26903,3964,6.786831483,972,33.51724137931034,3
성동구,금호2.3가동,20143.24,0,29,2451.361227,8.217165131,233,34,618,37,0,37,22423,3987,5.624028091,885,30.517241379310345,3
성동구,옥수동,26322.97644,18,20,3059.601235,8.603401036,179,31,601,40,2,42,25843,4312,5.993274583,811,22.549999999999997,3
광진구,화양동,42593.34593,2,22,2118.704759,20.10348339,157,22,671,22,2,24,27082,2356,11.49490662,850,36.63636363636363,1
광진구,군자동,23780.71326,4,29,1663.18853,14.29826675,262,54,903,22,2,24,21524,3175,6.779212598,1219,38.03448275862069,1
광진구,중곡1동,15220.66107,0,29,1479.148051,10.29015389,236,70,719,18,0,18,15663,2628,5.960045662,1025,35.3448275862069,1
광진구,중곡2동,18466.58235,0,29,1945.198342,9.493418716,234,86,850,17,1,18,21336,3418,6.242246928,1170,40.3448275862069,3
광진구,중곡3동,14521.06461,0,29,1778.885125,8.163014244,304,84,902,21,1,22,16177,2943,5.496772001,1290,44.48275862068966,1
광진구,중곡4동,24239.23146,0,29,3137.083037,7.726678312,413,154,1288,33,0,33,28405,5417,5.243677312,1855,63.96551724137931,0
광진구,능동,15295.36352,1,29,1321.22889,11.57661904,91,29,399,9,2,11,11561,1674,6.906212664,519,16.896551724137932,1
광진구,구의1동,22173.85187,0,29,1878.052742,11.80683128,244,56,892,13,1,14,24049,3342,7.195990425,1192,41.10344827586207,3
광진구,구의2동,19634.21775,0,29,2249.316064,8.728972359,287,111,1029,20,0,20,26573,4514,5.886796633,1427,49.206896551724135,3
광진구,구의3동,29234.55909,0,29,2556.358258,11.43601801,134,46,772,23,0,23,28440,4377,6.497601097,952,32.827586206896555,3
광진구,광장동,35120.53689,20,20,2739.626925,12.81945967,67,27,606,38,2,40,34362,3991,8.609872212,700,15.0,3
광진구,자양1동,24470.08002,0,29,2172.600719,11.26303596,361,88,1074,13,0,13,22709,3655,6.213132695,1523,52.51724137931034,3
광진구,자양2동,20905.82465,0,29,2218.345826,9.42406022,234,57,890,14,0,14,24253,4207,5.764915617,1181,40.724137931034484,3
